Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Profit,Revenue,Profit_Margin,Year,Month,Quarter
1052,2023-02-03,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,2060.4600000000005,5049.421427,40.805863202116925,2023,February,2023Q1
1093,2023-04-21,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,6681.849999999995,4379.197578,152.58160612729483,2023,April,2023Q2
1015,2023-09-21,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,3295.1999999999994,4621.96754,71.29431289774915,2023,September,2023Q3
1072,2023-08-24,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,5371.08000000001,2167.506412,247.79995898808025,2023,August,2023Q3
1061,2023-03-24,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,719.4200000000004,3747.1998399999998,19.198869308235253,2023,March,2023Q1
1021,2023-02-11,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,6583.040000000001,3753.251585,175.39564963642053,2023,February,2023Q1
1083,2023-04-11,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,6243.120000000006,617.444366,1011.1226765975555,2023,April,2023Q2
1087,2023-01-06,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,12058.439999999995,7689.681296000001,156.8132609900559,2023,January,2023Q1
1075,2023-06-29,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,10721.699999999997,4221.278305000001,253.99178223573665,2023,June,2023Q2
1075,2023-10-09,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,8171.820000000004,8228.868546,99.30672673064238,2023,October,2023Q4
1088,2023-11-16,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,1007.3699999999972,8498.857565,11.85300485736517,2023,November,2023Q4
1100,2023-08-14,Bob,West,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob,1575.0900000000047,2196.9810079999997,71.69338261298273,2023,August,2023Q3
1024,2023-11-11,Eve,West,6607.8,21,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail,West-Eve,400.68000000000086,6607.8,6.06374284935986,2023,November,2023Q4
